time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,5,5,14,10
2026-07-29 00:00:00+00:00,16,11,18,13
2026-07-30 00:00:00+00:00,10,5,25,18
2026-07-31 00:00:00+00:00,21,11,29,20
2026-08-01 00:00:00+00:00,19,8,25,17
2026-08-02 00:00:00+00:00,8,3,34,19
2026-08-03 00:00:00+00:00,2,2,41,19
2026-08-04 00:00:00+00:00,5,5,18,15
2026-08-05 00:00:00+00:00,15,10,25,21
2026-08-06 00:00:00+00:00,10,5,24,14
2026-08-07 00:00:00+00:00,5,5,11,11
2026-08-08 00:00:00+00:00,16,7,42,26
2026-08-09 00:00:00+00:00,52,23,36,24
2026-08-10 00:00:00+00:00,64,30,29,25
