url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,219,188
/shalenMathew/MovieFlix_App/releases/tag/v1.4,27,23
/shalenMathew/MovieFlix_App/releases,23,20
/shalenMathew/MovieFlix_App/issues,11,5
/shalenMathew/MovieFlix_App/tree/master,10,7
/shalenMathew/MovieFlix_App/tree/master/app,7,5
/shalenMathew/MovieFlix_App/tree/master/fastlane/metadata/android/en-US,3,2
/shalenMathew/MovieFlix_App/commits/master/fastlane/metadata/android/en-US/title.txt,3,1
/offa/android-foss,2,2
/shalenMathew/MovieFlix_App/issues/49,2,2
