time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,12,6,11,8
2026-04-30 00:00:00+00:00,78,22,22,15
2026-05-01 00:00:00+00:00,25,8,28,14
2026-05-02 00:00:00+00:00,19,9,14,12
2026-05-03 00:00:00+00:00,39,15,32,15
2026-05-04 00:00:00+00:00,19,9,33,22
2026-05-05 00:00:00+00:00,67,32,9,4
2026-05-06 00:00:00+00:00,16,10,9,9
2026-05-07 00:00:00+00:00,22,9,24,13
2026-05-08 00:00:00+00:00,3,3,31,13
2026-05-09 00:00:00+00:00,26,11,14,11
2026-05-10 00:00:00+00:00,4,4,28,20
2026-05-11 00:00:00+00:00,10,5,12,11
2026-05-12 00:00:00+00:00,16,7,15,10
