url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,170,153
/shalenMathew/MovieFlix_App/releases/tag/v1.4,42,33
/shalenMathew/MovieFlix_App/releases,13,12
/shalenMathew/MovieFlix_App/discussions,6,3
/shalenMathew/MovieFlix_App/issues,4,4
/shalenMathew/MovieFlix_App/blob/master,3,3
/shalenMathew/MovieFlix_App/pulls,3,3
/shalenMathew/MovieFlix_App/issues/63,2,2
/shalenMathew/MovieFlix_App/tree/master/app,2,2
/shalenMathew/MovieFlix_App/commit/b200767e013f652234f2482262a286d76724866a,2,1
