time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,17,11,44.0,2.0
2025-12-07 00:00:00+00:00,30,21,42.0,4.0
2025-12-08 00:00:00+00:00,21,17,36.0,7.0
2025-12-09 00:00:00+00:00,20,14,,
2025-12-10 00:00:00+00:00,12,7,13.0,4.0
2025-12-11 00:00:00+00:00,4,4,2.0,2.0
2025-12-12 00:00:00+00:00,10,6,6.0,3.0
2025-12-13 00:00:00+00:00,9,5,23.0,12.0
2025-12-14 00:00:00+00:00,11,6,18.0,12.0
2025-12-15 00:00:00+00:00,7,7,23.0,16.0
2025-12-16 00:00:00+00:00,10,6,33.0,19.0
2025-12-17 00:00:00+00:00,9,5,19.0,10.0
2025-12-18 00:00:00+00:00,10,5,26.0,11.0
2025-12-19 00:00:00+00:00,2,2,21.0,12.0
