url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,186,152
/shalenMathew/MovieFlix_App/releases,43,41
/shalenMathew/MovieFlix_App/releases/tag/v1.4,25,19
/shalenMathew/MovieFlix_App/blob/master,5,5
/shalenMathew/MovieFlix_App/blob/master/README.md,5,2
/shalenMathew/MovieFlix_App/blob/master/settings.gradle.kts,3,3
/shalenMathew/MovieFlix_App/tree/master/app,2,2
/shalenMathew/MovieFlix_App/issues,2,1
/shalenMathew/MovieFlix_App/blob/master/BUILD_REQUIREMENTS.md,1,1
/shalenMathew/MovieFlix_App/blob/master/app/src/main/java/com/shalenmathew/movieflix/core/adapters/EpisodeAdapter.kt,1,1
